id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
53565,26782,53564,5366,5420,60223000,4973,6,0,75,0,0
53566,26783,53567,3519,1664,21899000,4675,3,10,42,0,0
53567,26783,53566,1664,3519,78102000,4066,4,0,35,0,0
53568,26784,53569,3519,344,57740000,3040,7,0,72,0,0
53569,26784,53568,344,3519,42258000,3584,5,0,22,0,0
53570,26785,53571,4333,1205,28908000,2817,9,10,16,0,0
53571,26785,53570,1205,4333,71092000,4699,2,0,68,0,0
53572,26786,53573,2729,3074,18238000,1990,1,0,72,0,0
53573,26786,53572,3074,2729,81761000,3662,7,10,78,0,0
53574,26787,53575,1856,3519,63015000,4794,1,0,85,0,0
53575,26787,53574,3519,1856,36984000,1023,5,0,83,0,0
53576,26788,53577,5064,3519,61384000,3607,4,0,67,0,0
53577,26788,53576,3519,5064,38617000,1371,7,0,61,0,0
53578,26789,53579,3519,1892,77049000,2521,7,0,81,0,0
53579,26789,53578,1892,3519,22952000,3518,9,0,23,0,0
53580,26790,53581,5127,342,95471000,2682,9,10,39,0,0
53581,26790,53580,342,5127,4527000,1506,9,0,23,0,0
53582,26791,53583,5127,344,42112000,4480,8,0,89,0,0
53583,26791,53582,344,5127,57888000,2920,1,0,72,0,0
53584,26792,53585,2729,161,61289000,1088,8,0,35,0,0
53585,26792,53584,161,2729,38711000,1159,7,0,68,0,0
53586,26793,53587,5366,5421,80312000,2408,2,0,19,0,0
53587,26793,53586,5421,5366,19688000,2436,8,0,56,0,0
53588,26794,53589,2729,177,44235000,1795,3,1000,74,0,0
53589,26794,53588,177,2729,55765000,2515,9,10,88,0,0
53590,26795,53591,5422,5366,93273000,2576,2,1000,48,0,0
53591,26795,53590,5366,5422,6726000,4538,5,0,59,0,0
53592,26796,53593,5388,5423,29866443,3888,6,0,84,0,1
53593,26796,53592,5423,5388,70132557,2449,6,1000,89,0,4
53594,26797,53595,54,5424,60065157,1599,7,1000,17,0,0
53595,26797,53594,5424,54,39932843,3006,2,0,87,0,1
53596,26798,53597,4608,5424,54985000,1133,1,10,38,0,0
53597,26798,53596,5424,4608,45013000,2707,5,0,38,0,0
53598,26799,53599,5424,17,31154000,4779,8,0,72,0,0
53599,26799,53598,17,5424,68844000,3619,3,0,48,0,0
53600,26800,53601,5424,282,46448000,4519,3,10,70,0,0
